country,link,description,title
Browse by Country: Bahamas,/cgi-bin/fg.cgi?page=gr&GRid=16259466,"Major League Baseball Player. Born George Anthony Curry. A native of Nassau, Bahamas, he was an outfielder for three seasons (1960 to 1961, 1966) with the Philadelphia Phillies and Cleveland Indians. His best year was in 1960 when he had a season high 64 hits with a .261 batting average. Curry had the distinction of becoming the second Bahamian player to enter the big leagues (the first was Andre Rodgers) when he made his MLB debut on April 12, 1960. In 129 career games, Curry had 73 hits with...[Read More] (Bio by: C.S.)","Curry, Tony"
Browse by Country: Bahamas,/cgi-bin/fg.cgi?page=gr&GRid=145147050,"Singer. He was born Jonathan Kemp. His singing career began in nightclubs in the Bahamas at the age of 13.  In 1979 he moved to New York.  His hits include “Just Another Lover,” and “Dancin’ with Myself”.  His success came the following year with the release of his Secrets of Flying album, which contained  ""Just Got Paid"".  ""Just Got Paid"" cracked the Top 10 on the Billboard Hot 100 in 1988.  He was 55 years old. (Bio by: Babe)","Kemp, Johnny"
Browse by Country: Bahamas,/cgi-bin/fg.cgi?page=gr&GRid=15033597,"Statesman. A native of Mason's Addition, Nassau, Bahamas, Pindling served as the first black Premier of the Colony of the Bahama Islands from 1967 to 1973, and as the Prime Minister of the Bahamas from 1973 to 1992. Educated at the University of London in London, England, Pindling was also a successful lawyer, receiving his law degree in 1953. He also served as a Member of the Bahamian Progressive Liberal Party in 1953, Treasurer of the Party from 1954 to 1963, and Parliamentary Leader of the...[Read More] (Bio by: K)","Pindling, Sir. Lynden Oscar 'The Black Moses'"
Browse by Country: Bahamas,/cgi-bin/fg.cgi?page=gr&GRid=7723731,"British Victoria Cross War Medal Recipient. He was born to an army officer in Caernarfon, Gwynedd, northwest Wales. He was a student of the Royal Military Academy and was commissioned in 1943 in the Royal Garrison Artillery. He learned to fly at his own expense and received his pilot certificate in 1913. He was then attached to the West African Frontier Force and saw his first flying action in 1915. He was known as an aggressive pilot and excellent marksman. In addition to the Victoria Cross he...[Read More] (Bio by: Tom Todd)","Rees, Lionel Wilmot Brabazon"
Browse by Country: Bahamas,/cgi-bin/fg.cgi?page=gr&GRid=10150204,"Major League Baseball Player. Born Kenneth Andre Ian Rodgers in Nassau, Bahamas, 'Andy' was the first Bahamian to play in the major leagues. At 6'3, and 200lbs, Rodgers made is debut on April 16, 1957, and played his final game on September 30, 1967. Rodgers played for the New York Giants in 1957, San Francisco Giants from 1959 to 1960, Chicago Cubs from 1961 to 1963, and the Pittsburgh Pirates from 1965 to 1967. Rodgers died at the age of 70, in December 2004, in his native Nassau, Bahamas. (Bio by: K)","Rodgers, Andre"
Browse by Country: Bahamas,/cgi-bin/fg.cgi?page=gr&GRid=17858972,"Model, Actress. Born Vickie Lynn Hogan, she first gained popularity as Playboy magazine's 1993 Playmate of the Year. Her highly publicized marriage to oil business executive and billionaire J. Howard Marshall, who was 63 years her senior, resulted in tumultuous speculation that she married the octogenarian merely for his money, which she denied. Following his death, she began a lengthy and ongoing legal battle over a share of his estate. Smith's career and public image subsequently suffered as...[Read More]Cause of death: Accidental drug overdose","Smith (Hogan), Anna (Vickie Lynn) Nicole"
Browse by Country: Bahamas,/cgi-bin/fg.cgi?page=gr&GRid=15698174,"A native of Limestone County, Texas, he was the son of actress/model Anna Nicole Smith, and her first husband Billy Smith. He aspired to be an actor, and appeared in the films, ""To The Limit"" (1995), and ""Skyscraper"" (1997), as Billy Ray. Smith also appeared in his mother's reality television series, ""The Anna Nicole Show"" from 2002 to 2004.","Smith, Daniel Wayne"
Browse by Country: Bahamas,/cgi-bin/fg.cgi?page=gr&GRid=15033583,"Statesman. A native of Current, Eleuthera, Bahamas, he served as the Chief Minister of the Bahamas from 1955 to 1959, and as the Prime Minister of the Bahamas from 1959 to 1964, and from 1964 to 1967. He also served as a Member of the House of Assembly from 1925 to 1977. Known for his vast fortune, and his generosity towards charities, he was honored with his face being put on the Bahamian $50 dollar bill. He was knighted in 1959 by Queen Elizabeth II. His family also became known as the...[Read More] (Bio by: K)","Symonette, Sir. Roland Theodore"
Browse by Country: Bahamas,/cgi-bin/fg.cgi?page=gr&GRid=2360,"Pirate Captain. Best known as ""Blackbeard"", he was born about 1680 in Bristol, England, little is known about his early life.  About 1716 he met his first real pirate, Benjamin Hornigold, who took him on as his apprentice and taught him the pirating trade.  In late 1717, the English King gave a pardon to all pirates who gave up their trade, and Hornigold decided to retire, leaving Teach on his own.  Taking a recently captured merchant ship ""Concord"", he refitted it as a pirate ship with 40 guns...[Read More] (Bio by: Kit and Morgan Benson)","Teach, Edward 'Blackbeard'"
Browse by Country: Bahamas,/cgi-bin/fg.cgi?page=gr&GRid=28120329,"Businessman,  Mutual Fund Pioneer, Philanthropist. Born in Winchester, Tennessee,  he graduated with honors from Yale in 1934 and was named a Rhodes Scholar to Oxford,  where he earned an MA degree in law. He began a career on Wall Street in 1937. In 1939 he borrowed $10,000 to buy 100 shares each in 104 companies that were foundering or in bankruptcy. He made huge profits in all but four. At a time when most American investors did not look beyond domestic holdings, he launched his first global...[Read More] (Bio by: MKC)","Templeton, Sir. John Marks"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=18027750,"US Congressman.  He studied as a physician in his father's medical practice, and in 1794 established a practice of his own in Washington, Georgia.  Abbot served in local offices including the city council, and was a member of the Georgia House of Representatives in 1799, 1802 to 1804, 1808, and 1811.  In 1816 he was elected to the United States House of Representatives as a Democratic-Republican.  He won reelection twice as a Democratic-Republican, and once as a Crawford Republican, serving...[Read More] (Bio by: Bill McKern)","Abbot, Joel"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=6404437,"US Congressman. He served during the War of 1812 as a Corporal in the Georgia State Militia Cavalry. He was elected to represent Alabama's 2nd District in the United States House of Representatives, serving from 1851 to 1855.","Abercrombie, James"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=8291693,"Gospel Singer, Songwriter. He is considered by many consider to be one of Gospel music's greatest piano players. While giving vocal and piano lessons out of his music store, he and his wife Louise began the first ""mail-order piano courses,"" which taught thousands throughout the world. He trained several performers who credit him for their success in the Gospel music field. He achieved great success on his own by writing some of the genre's most well known songs, including ""Everybody's Going to...[Read More] (Bio by: Evening Blues)","Abernathy, Lee Roy"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=8533,"Social Reformer. He was an early civil rights organizer and minister who is best known as the leading confidante and friend of Dr. Martin Luther King Jr. Born in Linden, Alabama, he was the son of a successful farmer. He became pastor of the First Baptist Church of Montgomery, Alabama in 1951, and became associated with Dr. King a few years later. Resigning as pastor of his church, he and his family moved to Atlanta...[Read More] (Bio by: Curtis Jackson)","Abernathy Sr., Rev. Ralph David"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=13532415,"Major League Baseball Player. He played in the Major Leagues for six seasons (1941 to 1946) as a pitcher for the New York Giants. A relief specialist, he led the National Leagues in Saves in 1944 and 1945, and in Games Pitched in 1942, 1943 and 1944, and was named to the 1943 National League All-Star Team. His 70 appearances (67 in relief) in 1943 set a Major League record. He had reached the Majors at age 29, much later in his career as most ball players. By the time he was 34 he saw his...[Read More] (Bio by: Russ Dodge)","Adams, Ace Townsend"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=7780755,"US Congressman.  He was elected as a Democrat to represent Georgia's 4th District in the United States House of Representatives, serving from 1897 to 1917. His most significant piece of legislation was the Adamson Act, which proposed an 8 hour workday and overtime pay for railway employees. President Woodrow Wilson signed it into law on September 3, 1916. Although it was an emergency bill intended to head off a crippling...[Read More] (Bio by: Bobb Edwards)","Adamson, William Charles"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=27667896,"Professional Football Player. He played at the defensive end and defensive tackle positions for five seasons (1991 to 1995) in the National Football League with the Indianapolis Colts and Atlanta Falcons. A star player during his collegiate years at the University of Illinois, he achieved first-team All-Big Ten status. He was selected by the Colts in the 6th round of the 1991 NFL Draft and appeared in 54 career games. In addition to the NFL, Agee played in the Arena Football League with Tampa...[Read More] (Bio by: C.S.)Cause of death: Heart attack","Agee, Mel"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=2624,"Author, Editor. His writings often deal with identity and changing perceptions, reflecting his profound interest in psychology. He won the 1930 Pulitzer Prize for his ""Selected Poems"" (1929) and the National Book Award for ""Collected Poems"" (1953). Conrad Potter Aiken was born in Savannah, Georgia. When he was 11 his father killed his mother and then himself, and he was raised by a distant relative in Massachusetts. He studied at Harvard University from 1908 to 1912, where his classmates...[Read More] (Bio by: Bobb Edwards)","Aiken, Conrad"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=7972931,"Presidential Cabinet Secretary. Born in Portsmouth, New Hampshire, he became a prominent lawyer in Georgia during the 1850s. First opposed to secession when the Civil War loomed, he nevertheless joined the Confederacy after the war erupted in April 1861. After briefly serving as a Private in the 3rd Georgia (State Guard) Cavalry, he was commissioned into the Confederate Quartermaster Corps as a Colonel in 1864, a duty he served in until the end of the war. After the end of the conflict he...[Read More] (Bio by: Russ Dodge)","Akerman, Amos Tappan"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=9302,"Civil War CSA Congressman. A prominent member of the Georgia State Bar, he established a family law practice that still exists today, and was the first lawyer to argue cases in front of the Georgia Supreme Court. After unsuccessfully running for Governor of Georgia in 1860 (losing to Governor Joseph E. Brown), he supported secession at the onset of the Civil War. He was elected to represent Georgia in the 2nd...[Read More] (Bio by: Russ Dodge)","Akin Sr., Warren"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=8335,"Civil War Confederate Brigadier General. Known mostly as ""Porter"", he was considered talented engineer and artillerist when in 1857 he graduated 3rd in his class from the United States Military Academy at West Point, New York. Receiving his commission as a 2nd Lieutenant in October 10, 1858, his routine postings and a teaching assignment at West Point were broken up by his brief participation in the Army's 1858 Utah Expedition and, in 1859, his historic work with surgeon [Read More] (Bio by: Ugaalltheway)","Alexander, Edward Porter"
